PLAYER_ID,PLAYER_NAME,GP,MIN,PF,STL,BLK,POSITION,PLAYER_POSITION,DREB_PCT,Stocks,D4_Ratio,D4_Raw,D4_N,D4_Score,W4,MATCHUP_DIFFICULTY,MD_Zscore,MD_Percentile,D_FG_PCT,D_FGA,PCT_PLUSMINUS,NORMAL_FG_PCT,PCT_PLUSMINUS_ADJ,D1_Raw,D1_N,D1_Score,W1,Rim_DFG,Rim_FGA,Rim_PLUSMINUS,Rim_PLUSMINUS_ADJ,Rim_Raw,3PT_DFG,FG3_FGA,3PT_PLUSMINUS,3PT_PLUSMINUS_ADJ,3PT_Raw,ROLE,BLK_per_36,Roamer_Index,Roamer_Pct,D2_Raw,D2_N,D2_Score,W2,DEFLECTIONS,CHARGES_DRAWN,CONTESTED_SHOTS,Z_Defl,Z_Chrg,Z_Cont,Hustle_Raw,D3_Raw,D3_N,D3_Score,W3,D5_Raw,D5_N,D5_Score,W5_Base,W5,Actual_Output,Input_Score,Expected_Output,Efficiency,EDI_Total,Sigmoid_Factor,Efficiency_Residual
203497,Rudy Gobert,66,32.1,2.7,0.7,2.1,C,C,0.312,2.8,0.7567567567567567,0.9622950819672131,2118.6,0.9495631876690248,0.9724593775819333,23.657460745380213,0.3454011008171408,0.6277372262773723,0.416,1371,-0.069,0.485,-0.07521721981470854,0.9836065573770492,90486,0.9832860971309574,0.9993373533894374,0.506,472,-0.131,-0.1361810165122571,0.9868852459016394,0.327,342,-0.012,-0.017181016512257112,0.6098360655737705,Frontcourt,2.3551401869158877,7.314099959366111,0.8,0.8850819672131148,28835.4,0.8842823618076597,0.9979235449241056,1.32,0.03,13.06,-0.27133363662363474,-0.25451222146696334,3.4110328706585493,2.630674791100988,0.8721311475409836,2118.6,0.8618824241165556,0.9724593775819333,0.9967213114754099,2118.6,0.9830412973890588,0.9724593775819333,0.7390691269622693,0.9338188029898763,0.905722340206325,0.6596236183809776,1.4156821576518739,105.05139955807049,0.958908721799535,0.2741951846088987
1628389,Bam Adebayo,56,32.6,3.1,1.4,0.8,C-F,C-F,0.234,2.2,0.5365853658536587,0.7934426229508197,1825.6000000000001,0.7841052463189523,0.9681798896902842,25.37026214687294,1.329843396257489,0.9215328467153284,0.428,699,-0.049,0.476,-0.0729371811326348,0.9770491803278688,39144,0.9763190775113277,0.9984695439240894,0.614,251,-0.029,-0.04894765094386233,0.7147540983606557,0.301,249,-0.058,-0.07794765094386233,0.9606557377049181,Frontcourt,0.8834355828220859,3.6206376345167453,0.32105263157894737,0.8076466781708369,14013.69052631579,0.806335096062666,0.9957367259221873,2.43,0.05,7.84,1.487089079282407,0.016434471543241968,1.0954040082071683,2.615362030576059,0.8688524590163934,1825.6000000000001,0.8571155330824819,0.9681798896902842,0.9377049180327869,1825.6000000000001,0.9237770992578785,0.9681798896902842,0.87492887926222,0.8914431109930465,0.8206099659106887,0.6276312428947661,1.4203271439362828,85.92609078700818,0.8388910504234147,0.2638118680982804
201950,Jrue Holiday,67,32.9,2.0,1.6,0.4,G,G,0.1,2.0,0.6666666666666666,0.9229508196721311,2204.2999999999997,0.911743360775197,0.9735017444684891,26.29005348068696,1.8584986689568679,0.9762773722627737,0.44,947,-0.016,0.456,-0.04945297604122362,0.8819672131147541,63449,0.8816063503585009,0.9990552520115259,0.602,274,-0.02,-0.04787748003435302,0.7049180327868853,0.394,424,0.035,0.007122519965646987,0.30491803278688523,Guards,0.4376899696048633,3.9789997236805754,0.0,0.44491803278688524,24890.5,0.4450504917769971,0.9975952385723733,2.77,0.06,6.36,2.02570504631669,0.15190781804834452,0.43886555678417183,2.7683862391975507,0.8885245901639345,2204.2999999999997,0.878229366293495,0.9735017444684891,0.28032786885245903,2204.2999999999997,0.2861487971167581,0.9735017444684891,0.38940069778739567,0.663487700432883,0.8949859038608483,0.655587964273207,1.01204830555443,71.10555733167618,0.9644288107273639,0.007899736159675985
1629027,Trae Young,76,34.9,1.7,0.9,0.1,G,G,0.087,1.0,0.37037037037037035,0.44098360655737706,2652.4,0.44228908643002024,0.9778793688246571,21.358657957593064,-0.9758488066161373,0.1624087591240876,0.479,838,0.035,0.443,0.05256527851909047,0.04590163934426228,63688,0.04632903944527477,0.9990587940013804,0.67,270,0.049,0.06363773209924206,0.06229508196721312,0.357,342,-0.002,0.012637732099242058,0.25901639344262295,Guards,0.1031518624641834,1.0634212625173547,0.0,0.1901639344262295,24076.8,0.1909341344500283,0.9975141692353584,1.75,0.08,2.09,0.4098571452138407,0.4228545110585498,-1.4553365969835286,-0.19977042965258818,0.5540983606557377,2652.4,0.5529016707724814,0.9778793688246571,0.12786885245901639,2652.4,0.1361006283226276,0.9778793688246571,0.39115174752986287,0.11857559155796693,0.4975951241756335,0.5062151481150332,0.5,26.106744297657304,0.9905289564180538,-0.3876395565570663
