PLAYER_ID,PLAYER_NAME,GP,MIN,PF,STL,BLK,POSITION,PLAYER_POSITION,DREB_PCT,Stocks,D4_Ratio,D4_Raw,D4_N,D4_Score,W4,MATCHUP_DIFFICULTY,MD_Zscore,MD_Percentile,D_FG_PCT,D_FGA,PCT_PLUSMINUS,NORMAL_FG_PCT,PCT_PLUSMINUS_ADJ,D1_Raw,D1_N,D1_Score,W1,Rim_DFG,Rim_FGA,Rim_PLUSMINUS,Rim_PLUSMINUS_ADJ,Rim_Raw,3PT_DFG,FG3_FGA,3PT_PLUSMINUS,3PT_PLUSMINUS_ADJ,3PT_Raw,ROLE,BLK_per_36,Roamer_Index,Roamer_Pct,D2_Raw,D2_N,D2_Score,W2,DEFLECTIONS,CHARGES_DRAWN,CONTESTED_SHOTS,Z_Defl,Z_Chrg,Z_Cont,Hustle_Raw,D3_Raw,D3_N,D3_Score,W3,D5_Raw,D5_N,D5_Score,W5_Base,W5,W5_Before_Roamer,W5_Lost,Actual_Output,Input_Score,Expected_Output,Efficiency,EDI_Total,Sigmoid_Factor,Synergy_Bonus,Efficiency_Residual
203932,Aaron Gordon,73,31.5,1.9,0.8,0.6,F,F,0.129,1.4,0.48275862068965514,0.6302816901408451,2299.5,0.6269687418855153,0.9745708836617928,27.18715700953192,1.6550196751889583,0.9577205882352942,0.432,865,-0.054,0.486,-0.08379035415340125,0.9929577464788732,63145,0.9924897856405103,1.020872048963216,0.591,296,-0.046,-0.07082529512783436,0.823943661971831,0.337,285,-0.036,-0.06082529512783437,0.9366197183098591,Frontcourt,0.6857142857142856,4.933196300102773,0.49710982658959535,0.8620451029878693,21336.465317919075,0.8610298555693585,1.0189766243826957,1.38,0.03,4.74,-0.3112983137778167,-0.21952764240391942,0.08199084972708641,-0.6683627488585692,0.4859154929577465,2299.5,0.4862736495258903,1.076309323886833,0.5845070422535211,2299.5,0.5823581028446585,0.9745708836617928,0.829230254768878,0.9745708836617928,0.14534062889291477,0.9268204424405532,0.5531311806737038,0.525701511317074,1.5,96.4848056881523,0.9852259683067269,7.309602092152937,0.4011189311234792
1628988,Aaron Holiday,78,16.3,1.6,0.5,0.1,G,G,0.075,0.6,0.23076923076923075,0.051056338028169015,1271.4,0.07128813892820647,0.9549346552501127,23.475882951533748,-0.007036141483324973,0.47610294117647056,0.477,440,0.017,0.46,0.017126650546699852,0.2605633802816901,34320,0.2609812452375685,0.9982547993019197,0.654,159,0.042,0.04210554212224988,0.10915492957746475,0.342,155,-0.022,-0.021894457877750125,0.6373239436619718,Guards,0.22085889570552147,2.5983399494767236,0.0,0.4524647887323943,12199.2,0.4526974395314723,0.995105716523101,1.07,0.01,2.13,-0.8136205928283835,-0.49910544707976284,-1.105482722990882,-2.917314209978791,0.045774647887323945,1271.4,0.06624446997442066,0.9549346552501127,0.07394366197183098,1271.4,0.09314403772794495,0.9549346552501127,0.3819738621000451,0.3819738621000451,0.0,0.3566877281791297,0.06876626844556799,0.3404232327495039,1.047774200145126,21.13025260619581,0.9929664128450049,0.0,0.01626449542962577
1630174,Aaron Nesmith,72,27.7,3.3,0.9,0.7,G-F,G-F,0.103,1.6,0.372093023255814,0.33098591549295775,1994.3999999999999,0.33592207450309336,0.9707943925233646,27.323574146940715,1.7161126834607237,0.9669117647058824,0.454,903,-0.022,0.476,-0.05289002830229302,0.926056338028169,65016,0.9256635145558952,1.034710999846133,0.525,354,-0.111,-0.13674169025191085,0.9788732394366197,0.317,281,-0.051,-0.07674169025191085,0.9683098591549296,Frontcourt,0.9097472924187725,8.050860994856395,0.815028901734104,0.9760568468615158,24086.65317919075,0.9748739329976472,1.033092443066441,1.58,0.11,6.46,0.012780575932226899,0.8987835762994546,0.8645404838554025,2.6748882123865387,0.8908450704225352,1994.3999999999999,0.8794302027115968,1.136951744908433,0.33274647887323944,1994.3999999999999,0.3376312195603528,0.9707943925233646,0.7334267462589813,0.9707943925233646,0.23736764626438334,0.9502490046988558,0.6290986931981787,0.5547604493042368,1.5,98.92466071693778,0.9828759666842724,8.40512473918312,0.3954885553946189
1630598,Aaron Wiggins,78,15.7,1.2,0.7,0.2,G,G,0.095,0.8999999999999999,0.409090909090909,0.43485915492957744,1224.6,0.43790169790344113,0.9532928538066324,23.51301095760125,0.009591253174567639,0.4889705882352941,0.443,578,-0.023,0.465,-0.023172642557142218,0.6443661971830985,45084,0.6441743229178366,0.9986709197235513,0.528,233,-0.097,-0.09714386879761852,0.9366197183098591,0.397,204,0.041,0.04085613120238149,0.07042253521126762,Guards,0.4585987261146497,4.367606915377617,0.0,0.3735915492957746,16703.7,0.37404398563394897,0.9964208378818519,1.45,0.01,3.14,-0.19787070237930143,-0.49910544707976284,-0.6459622982992542,-1.8420438948380813,0.18661971830985916,1224.6,0.20125681694087927,0.9532928538066324,0.2482394366197183,1224.6,0.2599984540592457,0.9532928538066324,0.381317141522653,0.381317141522653,0.0,0.5092612266911208,0.3195790898036322,0.43636364174843273,1.1670542889327717,43.91501261696641,0.9929664128450049,0.0,0.07289758494268811
201143,Al Horford,65,26.8,1.4,0.6,1.0,C-F,C-F,0.178,1.6,0.6666666666666667,0.9066901408450704,1742.0,0.8931488486970658,0.9667036625971143,24.609758297130472,0.5007582396588881,0.6875,0.465,873,-0.015,0.48,-0.024013648313859985,0.6619718309859155,56745,0.6618007490413832,1.031664503586573,0.633,311,0.009,0.0014886264051166779,0.3345070422535211,0.337,300,-0.028,-0.03551137359488332,0.7746478873239436,Frontcourt,1.3432835820895521,7.145125436646554,0.7514450867052023,0.4581535455507612,20014.138728323698,0.4582786212663839,1.0296685229268632,1.0,0.0,8.11,-0.9270482042268987,-0.6388943494176846,1.6152421677575661,-0.5895947353047017,0.5,1742.0,0.5,1.1192528532844046,0.8045774647887324,1742.0,0.7944361507558112,0.9667036625971143,0.7487762473295567,0.9667036625971143,0.21792741526755754,0.5601379482559041,0.6821983089721178,0.5750720060558148,0.9740292838602459,61.14088010003151,0.9525741268224334,0.0,-0.014934057799910638
202692,Alec Burks,66,18.4,1.1,0.4,0.2,G,G,0.103,0.6000000000000001,0.28571428571428575,0.16549295774647887,1214.3999999999999,0.1812418768732925,0.9529190207156308,22.921878858850615,-0.2551411615693156,0.3915441176470588,0.477,390,0.011,0.466,0.01559254090824768,0.27464788732394363,25740,0.2751719620045856,0.9976744186046511,0.542,166,-0.071,-0.06717288257646026,0.7992957746478873,0.409,127,0.043,0.04682711742353973,0.04225352112676062,Guards,0.39130434782608703,3.4628703347441334,0.0,0.3072183098591549,9282.9,0.308456351731427,0.9935780111100407,0.77,0.02,2.68,-1.2997389273934485,-0.35931654474184116,-0.8552488283568271,-2.873620845233958,0.0528169014084507,1214.3999999999999,0.07387071960955943,0.9529190207156308,0.33274647887323944,1214.3999999999999,0.34062093843664626,0.9529190207156308,0.38116760828625235,0.38116760828625235,0.0,0.2917797739889109,0.12755623131221763,0.36291144946792275,0.8039949426278937,18.828756626815778,0.958908721799535,0.0,-0.07113167547901184
1627936,Alex Caruso,71,28.7,2.5,1.7,1.0,G,G,0.103,2.7,0.7714285714285715,0.9524647887323944,2037.7,0.9395230490537256,0.97139724460123,28.835856649289045,2.3933728076660263,0.9926470588235294,0.452,929,-0.02,0.472,-0.06308071053798847,0.9647887323943662,65959,0.9643663187870158,0.9990911707235796,0.582,299,-0.055,-0.0909005921149904,0.9225352112676056,0.36,406,-0.008,-0.043900592114990394,0.8450704225352113,Guards,1.254355400696864,11.100490271653666,0.0,0.8721830985915493,26167.050000000003,0.8713316499568193,0.9977122855982659,3.79,0.17,5.07,3.593852307228205,1.737516990326985,0.23213118650751918,7.3010174743896945,0.9859154929577465,2037.7,0.9720169709682034,0.97139724460123,0.33274647887323944,2037.7,0.33753039042761124,0.97139724460123,0.388558897840492,0.388558897840492,0.0,0.9178806470674357,0.9557695180549066,0.6797179071210728,1.3503826912143566,108.13133280034633,0.9801596942659225,7.060955433890865,0.23816273994636283
1630578,Alperen Sengun,63,32.5,3.3,1.2,0.7,C,C,0.193,1.9,0.4418604651162791,0.5316901408450704,2047.5,0.5307879304295524,0.9715302491103203,25.142264992672843,0.7392358721139066,0.7555147058823529,0.492,1189,-0.007,0.499,-0.02030624569805032,0.619718309859155,74907,0.6196224930518724,1.0161423961241594,0.596,527,-0.047,-0.0580885380817086,0.7323943661971831,0.315,311,-0.044,-0.0550885380817086,0.9084507042253521,Frontcourt,0.7753846153846153,3.8196286472148535,0.3872832369942196,0.7962783929007571,28263.183815028897,0.7956507550020611,1.0148019930281922,2.38,0.13,9.24,1.3090961347723997,1.178361380975298,2.1293590785511696,5.795177975274165,0.9753521126760564,2047.5,0.9618189564432861,1.050544298850102,0.8485915492957746,2047.5,0.8386672347250764,0.9715302491103203,0.8586530351963466,0.9715302491103203,0.11287721391397365,0.7075781871773568,0.7547244973273833,0.6028145757389008,1.1737888263919578,75.03255259495492,0.9370266439430035,0.0,0.10476361143845592
1641708,Amen Thompson,62,22.4,2.3,1.3,0.6,G-F,G-F,0.184,1.9,0.5757575757575758,0.7852112676056338,1388.8,0.773399646915174,0.958586416344561,24.765596874370388,0.5705489394875188,0.6985294117647058,0.453,466,-0.01,0.463,-0.020269880910775338,0.6161971830985915,28892,0.6159563765572156,1.0199088593233758,0.575,181,-0.048,-0.05655823409231278,0.7253521126760563,0.342,152,-0.019,-0.027558234092312783,0.6971830985915493,Frontcourt,0.9642857142857144,4.970544918998527,0.5086705202312138,0.7159000244240006,10618.682658959537,0.7146869533103486,1.0162844709866137,2.25,0.02,3.7,1.0984448564608718,-0.35931654474184116,-0.391178696490035,-0.01136692951284557,0.6091549295774648,1388.8,0.6046344327700048,1.0609833930731591,0.8169014084507042,1388.8,0.8037773854613046,0.958586416344561,0.8123050210179922,0.958586416344561,0.1462813953265688,0.6652334688837171,0.6847383025834382,0.5760435992327714,1.1548297992373084,68.59635792054316,0.9275735146384823,0.0,0.08918986965094577
1629599,Amir Coffey,70,20.9,1.5,0.6,0.2,G-F,G-F,0.08,0.8,0.32,0.20598591549295775,1463.0,0.21756887351687274,0.9606040709126723,24.960098266892313,0.6576543824539955,0.7224264705882353,0.479,520,0.019,0.459,0.007162221115828081,0.3556338028169014,36400,0.3558713774694243,1.0153717711209078,0.622,164,0.008,-0.001864815736809933,0.35915492957746475,0.394,208,0.027,0.017135184263190065,0.22887323943661975,Frontcourt,0.3444976076555024,3.8277511961722492,0.3930635838150289,0.31205019132133843,12593.606936416185,0.3129413987515507,1.012222904885266,1.05,0.02,3.05,-0.8460284817993878,-0.35931654474184116,-0.6869096628757361,-2.2515712341588063,0.1267605633802817,1463.0,0.14146467775794622,1.039895551448123,0.10035211267605634,1463.0,0.11609661250497073,0.9606040709126723,0.8473305272905999,0.9606040709126723,0.11327354362207243,0.3344395584188722,0.1780084598381585,0.38221033304762597,0.8750121451192001,20.998258086429757,0.9770226300899744,0.0,-0.04777077462875379
