PLAYER_ID,PLAYER_NAME,GP,MIN,PF,STL,BLK,POSITION,PLAYER_POSITION,DREB_PCT,Stocks,D4_Ratio,D4_Raw,D4_N,D4_Score,W4,MATCHUP_DIFFICULTY,MD_Zscore,MD_Percentile,D_FG_PCT,D_FGA,PCT_PLUSMINUS,NORMAL_FG_PCT,PCT_PLUSMINUS_ADJ,D1_Raw,D1_N,D1_Score,W1,Rim_DFG,Rim_FGA,Rim_PLUSMINUS,Rim_PLUSMINUS_ADJ,Rim_Raw,3PT_DFG,FG3_FGA,3PT_PLUSMINUS,3PT_PLUSMINUS_ADJ,3PT_Raw,ROLE,D2_Raw,D2_N,D2_Score,W2,DEFLECTIONS,CHARGES_DRAWN,CONTESTED_SHOTS,Z_Defl,Z_Chrg,Z_Cont,Hustle_Raw,D3_Raw,D3_N,D3_Score,W3,D5_Raw,D5_N,D5_Score,W5_Base,W5,Actual_Output,Input_Score,Expected_Output,Efficiency,EDI_Total,Efficiency_Residual
203932,Aaron Gordon,75,31.7,2.0,0.6,0.6,F,F,0.129,1.2,0.39999999999999997,0.5032786885245901,2377.5,0.5032111563201701,0.9794026776519053,26.790169170504306,2.14594299101338,0.9854014598540146,0.449,880,-0.014,0.463,-0.0461891448652007,0.8885245901639345,66000,0.8882304761668384,0.9992429977289932,0.603,315,-0.024,-0.0561891448652007,0.7508196721311475,0.344,308,-0.013,-0.045189144865200696,0.862295081967213,Frontcourt,0.7954098360655737,23415.0,0.7947803669923463,0.9978691668442361,0.91,0.01,5.32,-0.9208411262826232,-0.5254589144771685,-0.022485787459015104,-1.9942447426959753,0.17704918032786884,2377.5,0.18370110246323715,0.9794026776519053,0.5393442622950819,2377.5,0.5385338758420422,0.9794026776519053,0.9794026776519053,0.8415371427753594,0.3434559540522024,0.44599870418217635,1.5,75.39877516240662,0.39553843859318305
1628988,Aaron Holiday,63,16.2,1.5,0.7,0.1,G,G,0.092,0.7999999999999999,0.31999999999999995,0.23934426229508196,1020.5999999999999,0.2515176107774712,0.9532972165141043,23.164044652689313,0.06180741011107897,0.5036496350364964,0.444,378,0.008,0.437,0.007072888848333816,0.41639344262295086,23814,0.4165686155976765,0.997904793831713,0.581,124,-0.034,-0.03492711115166619,0.6163934426229508,0.331,163,-0.02,-0.020927111151666185,0.6557377049180328,Guards,0.6400000000000001,9286.2,0.6392502302864121,0.9946445020458002,1.41,0.02,2.81,-0.12875882182044243,-0.3899855679720659,-1.135939512507476,-2.0446694702720505,0.17049180327868851,1020.5999999999999,0.18588075324699188,0.9532972165141043,0.16885245901639345,1020.5999999999999,0.18431797092483765,0.9532972165141043,0.47664860825705213,0.5277269776457841,0.2186990673055779,0.4010127535186604,1.3159822400486008,43.16040349666934,0.12671422412712374
1630598,Aaron Wiggins,50,24.2,1.9,0.6,0.2,G,G,0.098,0.8,0.27586206896551724,0.10983606557377049,1210.0,0.12531876138433515,0.9603174603174603,24.982654617666395,1.1070637760110884,0.8704379562043796,0.483,516,0.028,0.454,0.011394043359833676,0.35737704918032787,25800,0.3576529156229191,0.9980657640232108,0.654,185,0.021,0.004394043359833677,0.360655737704918,0.321,193,-0.039,-0.05560595664016632,0.9114754098360656,Guards,0.6911475409836065,9490.0,0.6901457194899818,0.9947589098532494,1.33,0.0,6.16,-0.25549199053439114,-0.6609322609822711,0.35014414442971276,-1.2272123680692206,0.3344262295081967,1210.0,0.3409966172261254,0.9603174603174603,0.25081967213114753,1210.0,0.2607077803799115,0.9603174603174603,0.4801587301587302,0.5236231887841218,0.23315756790914122,0.406226328590803,1.2889905526557346,43.65512149678155,0.11739686019331885
201143,Al Horford,69,29.1,1.9,0.7,1.3,C-F,C-F,0.201,2.0,0.6896551724137931,0.9311475409836065,2007.9,0.920672116011946,0.9757033869478595,24.891016836974305,1.054394443130488,0.8558394160583942,0.425,1038,-0.047,0.472,-0.06281591664695732,0.9606557377049181,71622,0.9603343738963842,0.9993023774974885,0.548,332,-0.083,-0.09881591664695732,0.9344262295081968,0.335,316,-0.011,-0.026815916646957316,0.701639344262295,Frontcourt,0.8413114754098361,22466.4,0.840553557902131,0.9977793963511041,0.96,0.0,10.96,-0.8416328958364052,-0.6609322609822711,2.4794580409367297,0.31596062313578255,0.6491803278688525,2007.9,0.6455557511676315,0.9757033869478595,0.8819672131147541,2007.9,0.8726867035391004,0.9757033869478595,0.9757033869478595,0.9004891876193813,0.7831135322826177,0.604534354108127,1.4895558737799148,102.72548485606485,0.2959548335112544
202692,Alec Burks,81,28.6,2.7,1.0,0.3,G,G,0.148,1.3,0.35135135135135137,0.3770491803278688,2316.6,0.3796468060287082,0.9788726442998394,24.97985621509859,1.1054553783036745,0.8686131386861314,0.448,868,-0.01,0.458,-0.026581830674555114,0.760655737704918,70308,0.7604705023814972,0.9992893487592029,0.664,271,0.028,0.011418169325444885,0.3114754098360656,0.313,367,-0.04,-0.05658183067455512,0.9147540983606557,Guards,0.6734426229508196,26616.6,0.6731174172197725,0.9981249953124883,1.68,0.0,5.58,0.2989656225891353,-0.6609322609822711,0.09285204860178153,-0.9300468507736254,0.40327868852459015,2316.6,0.40532215407591715,0.9788726442998394,0.6524590163934426,2316.6,0.6492379605244017,0.9788726442998394,0.4894363221499197,0.716819061309484,0.39248427957460913,0.4636777749780453,1.5,72.75851245878184,0.25314128633143873
1630197,Aleksej Pokusevski,61,20.2,1.4,0.6,0.6,F,F,0.189,1.2,0.5,0.7278688524590164,1232.2,0.7189829979722353,0.9610045234752769,20.869995416224366,-1.2567103668072166,0.10948905109489052,0.459,588,0.002,0.457,0.020850655502108247,0.27213114754098355,35868,0.27244835458544453,0.9986079403084804,0.607,242,-0.033,-0.014149344497891753,0.4688524590163935,0.323,235,-0.028,-0.009149344497891752,0.521311475409836,Frontcourt,0.4898360655737705,14591.199999999999,0.4898707756194848,0.9965849793732754,1.18,0.0,5.87,-0.49311668187304564,-0.6609322609822711,0.22149809651574714,-1.5934831073218407,0.25245901639344265,1232.2,0.262111995008579,0.9610045234752769,0.8426229508196721,1232.2,0.8292622055841522,0.9610045234752769,0.9610045234752769,0.38104914992452793,0.4905472412641157,0.49903819211831796,0.7635655795029911,47.56408635252228,-0.11798904219379003
1627936,Alex Caruso,41,28.0,2.6,1.7,0.4,G,G,0.101,2.1,0.5833333333333334,0.8475409836065574,1148.0,0.8330359342072854,0.9582637729549248,25.66093627036424,1.496909993181979,0.9434306569343066,0.458,474,0.006,0.452,-0.016453649897729683,0.6491803278688524,19434,0.6487975000925517,0.9974337918291932,0.671,149,0.057,0.03454635010227032,0.1672131147540984,0.299,187,-0.057,-0.07945364989772968,0.9639344262295082,Guards,0.6452459016393443,7043.799999999999,0.6442221491960886,0.9929515915306324,3.37,0.17,4.85,2.976203811671307,1.6421146296044735,-0.2309811064919941,6.02945196438826,0.9639344262295082,1148.0,0.9445715536823668,0.9582637729549248,0.3,1148.0,0.308347245409015,0.9582637729549248,0.4791318864774624,0.6465146515009711,0.8888032801877139,0.6426449058290462,1.0060200269492636,71.72099379283607,0.0038697456719248846
1630578,Alperen Sengun,72,20.7,3.0,0.8,0.9,C,C,0.174,1.7000000000000002,0.42500000000000004,0.5967213114754099,1490.3999999999999,0.5935818246059146,0.9675408984679305,23.656402037786847,0.344792602638365,0.6259124087591241,0.51,877,0.033,0.477,0.027828110960424528,0.20983606557377055,63144,0.21006564744422204,0.9992087856442067,0.614,409,-0.019,-0.024171889039575473,0.5540983606557377,0.358,243,0.001,-0.004171889039575475,0.4491803278688524,Frontcourt,0.5121311475409835,24667.2,0.5121066076506623,0.9979771171491917,1.68,0.15,7.39,0.2989656225891353,1.3711679365942682,0.8957808304096355,3.937082326187307,0.9377049180327869,1490.3999999999999,0.9234974096572743,0.9675408984679305,0.7754098360655738,1490.3999999999999,0.7664702802337907,0.9675408984679305,0.9675408984679305,0.36099281216803925,0.7585392251382295,0.5956731313122043,0.6060239872643318,54.0092883892415,-0.2346803191441651
1629599,Amir Coffey,69,22.7,1.3,0.6,0.2,G-F,G-F,0.102,0.8,0.3478260869565218,0.3622950819672131,1566.3,0.3665549631165291,0.9690651487966343,23.848652058709916,0.4552893897912828,0.666058394160584,0.442,466,-0.015,0.457,-0.02182934084686924,0.7213114754098361,32154,0.7209678667348115,0.9984473978387778,0.575,160,-0.058,-0.06482934084686924,0.8229508196721311,0.39,177,0.031,0.02417065915313076,0.17704918032786887,Frontcourt,0.5645901639344262,11509.2,0.5643107753784083,0.995674441137795,1.23,0.07,3.31,-0.4139084514268275,0.28738116455344725,-0.9141359816213284,-0.7532821039412614,0.4360655737704918,1566.3,0.4380433757326742,0.9690651487966343,0.30983606557377047,1566.3,0.3157187585894925,0.9690651487966343,0.9690651487966343,0.6427479196956019,0.40229896185395364,0.46721684063053626,1.3756921585617923,58.125369689292874,0.1755310790650656
203083,Andre Drummond,73,19.7,2.6,1.1,0.9,C,C,0.305,2.0,0.5555555555555556,0.8098360655737705,1438.1,0.799425607083959,0.9664001075196559,23.09680778709493,0.02316264122762237,0.48905109489051096,0.497,784,0.011,0.486,0.010652560381585664,0.37049180327868847,57232,0.3706048476876837,0.9991271254495304,0.595,309,-0.047,-0.04734743961841434,0.701639344262295,0.39,205,0.039,0.03865256038158566,0.09508196721311479,Frontcourt,0.4590163934426229,19520.199999999997,0.4591211026601,0.9974450950935606,2.14,0.0,6.55,1.027681342694342,-0.6609322609822711,0.5231508985209077,0.22896771925070758,0.6295081967213115,1438.1,0.6251567352361522,0.9664001075196559,0.9934426229508196,1438.1,0.9768630038744531,0.9664001075196559,0.9664001075196559,0.4148254817445825,0.7122908026321565,0.5789964627339872,0.7164547488443289,59.523699820667765,-0.1641709809894047
